2013年7月20日,NTT東日本 ご利用料金 08月分,固定電話," -¥3,056"
2013年7月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2013年7月31日,エクシール,買い物," -¥24,320"
2013年7月31日,ドコモご利用料金 08月分,携帯電話," -¥8,134"
2013年8月3日,ナガヌマ エスエス,ガソリン," -¥7,782"
2013年8月5日,QOO10,買い物," -¥37,300"
2013年8月5日,ノジマ オンライン,買い物," -¥11,500"
2013年8月8日,東京電力 電気料金 13/08,電気," -¥9,143"
2013年8月15日,JASS ジヤスポ-トヤイタ,ガソリン," -¥6,574"
2013年8月15日,エヌエイチケイ ホウソウジユシン,テレビ," -¥2,450"
2013年8月20日,NTT東日本 ご利用料金 09月分,固定電話," -¥2,735"
2013年8月22日,トウキヨウガス 1195-614,ガス," -¥2,899"
2013年8月28日,AMAZON.CO.JP,買い物," -¥2,278"
2013年8月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2013年8月31日,ドコモご利用料金 09月分,携帯電話," -¥6,938"
2013年9月1日,ナガヌマ エスエス,ガソリン," -¥6,636"
2013年9月9日,東京電力 電気料金 13/09,電気," -¥12,573"
2013年9月17日,オルビス,コスメ," -¥2,630"
2013年9月19日,家具のショウエイ,買い物," -¥21,450"
2013年9月20日,NTT東日本 ご利用料金 10ガツブン,固定電話," -¥3,221"
2013年9月20日,トウキヨウガス 1195-614,ガス," -¥3,250"
2013年9月30日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2013年9月30日,ドコモご利用料金 10ガツブン,携帯電話," -¥7,925"
2013年10月6日,ナガヌマ エスエス,ガソリン," -¥6,421"
2013年10月7日,DIYツールストア 楽天市場店,買い物," -¥2,380"
2013年10月9日,東京電力 1310 5016983030505,電気," -¥8,192"
2013年10月13日,クマポンバイジ-エムオ-,買い物," -¥5,500"
2013年10月13日,クマポンバイジ-エムオ-,買い物," -¥2,900"
2013年10月14日,ENEOS-SS,ガソリン," -¥3,460"
2013年10月14日,ナガヌマ エスエス,ガソリン," -¥5,346"
2013年10月15日,エヌエイチケイ ホウソウジユシン,テレビ," -¥2,450"
2013年10月20日,NTT東日本 ご利用料金 11ガツブン,固定電話," -¥3,080"
2013年10月22日,トウキヨウガス 1195-614,ガス," -¥4,247"
2013年10月22日,わくわく倶楽部,買い物," -¥2,100"
2013年10月28日,バッテリー再生工場,維持費," -¥2,610"
2013年10月28日,三井商店,買い物," -¥1,260"
2013年10月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2013年10月31日,ドコモご利用料金 11ガツブン,携帯電話," -¥5,930"
2013年11月10日,ナガヌマ エスエス,ガソリン," -¥6,702"
2013年11月11日,東京電力 1311 5016983030505,電気," -¥7,888"
2013年11月17日,ナガヌマ エスエス（灯油）,灯油," -¥3,348"
2013年11月20日,NTT東日本 ご利用料金 12ガツブン,固定電話," -¥2,878"
2013年11月21日,インテリアトレジャーランド,買い物," -¥9,200"
2013年11月21日,トウキヨウガス 1195-614,ガス," -¥4,656"
2013年11月25日,トウカイメガネ.コンタクト,買い物," -¥3,234"
2013年11月30日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2013年11月30日,ドコモご利用料金 12ガツブン,携帯電話," -¥20,661"
2013年12月10日,東京電力 1312 5016983030505,電気," -¥7,159"
2013年12月19日,AMAZON.CO.JP,買い物, -¥398
2013年12月19日,トウキヨウガス 1195-614,ガス," -¥5,741"
2013年12月20日,NTT東日本 ご利用料金 01ガツブン,固定電話," -¥2,274"
2013年12月23日,AMAZON.CO.JP,買い物, -¥260
2013年12月23日,ナガヌマ エスエス,ガソリン," -¥5,066"
2013年12月23日,ナガヌマ エスエス,灯油," -¥1,728"
2013年12月28日,グルーポン・ジャパン,買い物," -¥2,000"
2013年12月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2013年12月31日,ドコモご利用料金 01ガツブン,携帯電話," -¥14,350"
2014年1月10日,東京電力 1401 5016983030505,電気," -¥6,823"
2014年1月12日,ナガヌマ エスエス,ガソリン," -¥5,698"
2014年1月12日,ナガヌマ エスエス,灯油," -¥1,728"
2014年1月20日,NTT東日本 ご利用料金 02ガツブン,固定電話," -¥2,157"
2014年1月22日,オルビス,コスメ," -¥2,630"
2014年1月22日,トウキヨウガス 1195-614,ガス," -¥6,044"
2014年1月24日,ナガヌマ エスエス,灯油," -¥3,456"
2014年1月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2014年1月31日,ドコモご利用料金 02ガツブン,携帯電話," -¥15,701"
2014年2月7日,東京電力 1402 5016983030505,電気," -¥6,545"
2014年2月16日,ナガヌマ エスエス,灯油," -¥3,456"
2014年2月17日,ラディカルベース楽天市場店,買い物," -¥1,980"
2014年2月20日,NTT東日本 ご利用料金 03ガツブン,固定電話," -¥2,936"
2014年2月20日,トウキヨウガス 1195-614,ガス," -¥5,908"
2014年2月22日,ナガヌマ エスエス,ガソリン," -¥5,620"
2014年2月28日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2014年2月28日,ドコモご利用料金 03ガツブン,携帯電話," -¥18,015"
2014年3月10日,東京電力 1403 5016983030505,電気," -¥7,603"
2014年3月20日,NTT東日本 ご利用料金 04ガツブン,固定電話," -¥2,583"
2014年3月20日,トウキヨウガス 1195-614,ガス," -¥6,139"
2014年3月23日,ナガヌマ エスエス,ガソリン," -¥6,548"
2014年3月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,480"
2014年3月31日,ドコモご利用料金 04ガツブン,携帯電話," -¥15,579"
2014年4月9日,東京電力 1404 5016983030505,電気," -¥6,425"
2014年4月20日,NTT東日本 ご利用料金 05ガツブン,固定電話," -¥2,384"
2014年4月21日,トウキヨウガス 1195-614,ガス," -¥5,517"
2014年4月24日,AMAZON.CO.JP,買い物," -¥1,500"
2014年4月28日,ニッセン,衣服," -¥1,501"
2014年4月28日,ニッセン,衣服," -¥1,021"
2014年4月30日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年4月30日,ドコモご利用料金 05ガツブン,携帯電話," -¥16,579"
2014年5月3日,ニッセン,衣服," -¥1,609"
2014年5月3日,ニッセン,衣服," -¥1,285"
2014年5月4日,ナガヌマ エスエス,ガソリン," -¥4,771"
2014年5月12日,東京電力 1405 5016983030505,電気," -¥6,287"
2014年5月17日,ナガヌマ エスエス,ガソリン," -¥5,975"
2014年5月20日,NTT東日本 ご利用料金 06ガツブン,固定電話," -¥2,301"
2014年5月22日,トウキヨウガス 1195-614,ガス," -¥4,646"
2014年5月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年5月31日,ドコモご利用料金 06ガツブン,携帯電話," -¥14,815"
2014年6月9日,東京電力 1406 5016983030505,電気," -¥5,657"
2014年6月14日,グルーポン・ジャパン,美容," -¥1,600"
2014年6月14日,ナガヌマ エスエス,ガソリン," -¥4,716"
2014年6月20日,NTT東日本 ご利用料金 07ガツブン,固定電話," -¥2,306"
2014年6月20日,オルビス,コスメ," -¥1,615"
2014年6月20日,トウキヨウガス 1195-614,ガス," -¥3,845"
2014年6月28日,グルーポン・ジャパン,美容," -¥1,000"
2014年6月30日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年6月30日,ドコモご利用料金 07ガツブン,携帯電話," -¥15,099"
2014年7月6日,ナガヌマ エスエス,ガソリン," -¥5,335"
2014年7月9日,東京電力 1407 5016983030505,電気," -¥6,757"
2014年7月20日,NTT東日本 ご利用料金 08ガツブン,固定電話," -¥2,568"
2014年7月22日,トウキヨウガス 1195-614,ガス," -¥3,150"
2014年7月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年7月31日,ドコモご利用料金 08ガツブン,携帯電話," -¥15,176"
2014年8月3日,ナガヌマ エスエス,ガソリン," -¥5,685"
2014年8月8日,東京電力 1408 5016983030505,電気," -¥7,497"
2014年8月14日,シヨウワシエルセキユ,ガソリン," -¥6,698"
2014年8月15日,ナガヌマ エスエス,ガソリン," -¥6,381"
2014年8月15日,楽天トラベル国内宿泊(チェック 731333,ホテル," -¥11,300"
2014年8月16日,AMAZON.CO.JP,買い物," -¥1,318"
2014年8月20日,NTT東日本 ご利用料金 09ガツブン,固定電話," -¥2,688"
2014年8月20日,wakasugi楽天市場店760002,美容," -¥2,706"
2014年8月21日,トウキヨウガス 1195-614,ガス," -¥2,625"
2014年8月27日,上海問屋760074,電化製品," -¥3,414"
2014年8月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年8月31日,ドコモご利用料金 09ガツブン,携帯電話," -¥15,150"
2014年9月8日,東京電力 1409 5016983030505,電気," -¥6,944"
2014年9月13日,ナガヌマ エスエス,ガソリン," -¥4,937"
2014年9月14日,Zeleshop760020,未定, -¥560
2014年9月19日,トウキヨウガス 1195-614,ガス," -¥3,127"
2014年9月20日,NTT東日本 ご利用料金 10ガツブン,固定電話," -¥2,978"
2014年9月23日,ナガヌマ エスエス,ガソリン," -¥6,473"
2014年9月30日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年9月30日,ドコモご利用料金 10ガツブン,携帯電話," -¥16,839"
2014年10月8日,東京電力 1410 5016983030505,電気," -¥6,031"
2014年10月10日,JASSフジミダイニ,ガソリン," -¥8,443"
2014年10月12日,楽天トラベル国内宿泊(チェック 749343,ホテル," -¥7,900"
2014年10月20日,NTT東日本 ご利用料金 11ガツブン,固定電話," -¥2,344"
2014年10月21日,オルビス,コスメ," -¥2,414"
2014年10月22日,トウキヨウガス 1195-614,ガス," -¥3,446"
2014年10月27日,AMAZON.CO.JP,買い物," -¥4,448"
2014年10月31日,インタ-ネツトヒカリ ゲツガク,インターネット," -¥3,580"
2014年10月31日,ドコモご利用料金 11ガツブン,携帯電話," -¥15,222"
2014年11月8日,東京電力 1411 5016983030505,電気," -¥6,828"
2014年11月16日,ナガヌマ エスエス,ガソリン," -¥5,864"
2014年11月20日,NTT東日本 ご利用料金 12ガツブン,固定電話," -¥2,317"
